CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,RFM_Score_Sum
12347.0,2,7,2783.37,5,5,5,555,0,15
12348.0,249,3,90.2,1,4,1,141,1,6
12349.0,19,1,939.75,4,2,4,424,3,10
12350.0,310,1,294.4,1,2,3,123,1,6
12352.0,36,8,1101.09,3,5,4,354,3,12
12353.0,204,1,29.300000000000004,1,2,1,121,1,4
12354.0,232,1,642.13,1,2,4,124,1,7
12355.0,214,1,179.4,1,2,2,122,1,5
12356.0,246,2,491.06,1,3,3,133,1,7
12357.0,33,1,1289.3500000000001,4,2,5,425,3,11
12358.0,2,2,92.82,5,3,1,531,3,9
12359.0,8,6,2989.63,5,5,5,555,0,15
12360.0,52,3,1793.3600000000001,3,4,5,345,3,12
12361.0,287,1,174.9,1,2,2,122,1,5
12362.0,3,13,3884.89,5,5,5,555,0,15
12363.0,110,2,345.78000000000003,2,3,3,233,3,8
12364.0,8,3,1106.28,5,4,4,544,3,13
12365.0,291,1,307.94,1,2,3,123,1,6
12367.0,4,1,138.3,5,2,2,522,3,9
12370.0,51,4,1923.98,3,4,5,345,3,12
12371.0,60,1,1201.46,3,2,5,325,3,10
12372.0,72,3,663.54,2,4,4,244,3,10
12373.0,311,1,221.10000000000002,1,2,2,122,1,5
12374.0,25,1,479.71,4,2,3,423,3,9
12375.0,3,3,198.02,5,4,2,542,3,11
12377.0,315,2,1157.52,1,3,4,134,1,8
12378.0,130,1,3188.62,2,2,5,225,3,9
12379.0,82,3,658.29,2,4,4,244,3,10
12380.0,22,5,1500.8,4,4,5,445,3,13
12381.0,5,6,1212.11,5,5,5,555,3,15
12383.0,185,6,1057.79,1,5,4,154,1,10
12384.0,29,3,277.16,4,4,2,442,3,10
12386.0,367,1,144.3,1,2,2,122,1,5
12388.0,16,6,1465.66,4,5,5,455,3,14
12390.0,80,1,407.74,2,2,3,223,3,7
12391.0,22,1,406.88,4,2,3,423,3,9
12393.0,72,4,1193.5,2,4,5,245,3,11
12394.0,217,1,331.18,1,2,3,123,1,6
12395.0,16,15,1824.22,4,5,5,455,0,14
12397.0,36,2,1720.01,3,3,5,335,3,11
12398.0,46,1,1273.24,3,2,5,325,3,10
12399.0,119,4,684.6,2,4,4,244,3,10
12401.0,303,1,32.85,1,2,1,121,1,4
12402.0,323,1,195.6,1,2,2,122,1,5
12403.0,50,1,9.9,3,2,1,321,3,6
12405.0,149,1,708.57,2,2,4,224,1,8
12406.0,22,2,1646.22,4,3,5,435,3,12
12407.0,50,5,932.01,3,4,4,344,3,11
12408.0,33,8,1280.79,4,5,5,455,3,14
12409.0,79,7,146.89,2,5,2,252,3,9
12410.0,301,2,230.88,1,3,2,132,1,6
